ID,Severity,Category,File,Line,Description,Reviewer,Review_Date,Status,Fix_Priority,Est_Hours,Notes
POSITIVE,Security,services/knowledge_base/server.py,ALL,EXCELLENT SECURITY: Has rate limiting (slowapi) + API key validation + password validation (16+ chars) + CORS restrictions,Noted,2025-11-09,N/A,N/A,N/A,Use this as template for other services!
16,CRITICAL,Security,services/payment/api_routes.py,110-142,NO AUTHENTICATION on create_coupon - anyone can create unlimited coupons with any discount!,GPT-Codex-2,2025-11-09,Fixed,P0,2,FIXED: Added verify_admin_access dependency with ADMIN_API_KEYS env var
17,CRITICAL,Security,services/payment/api_routes.py,167-176,NO AUTHENTICATION on delete_coupon - anyone can delete any coupon!,GPT-Codex-2,2025-11-09,Fixed,P0,1,FIXED: Added verify_admin_access dependency  
18,HIGH,Security,services/payment/api_routes.py,71-87,NO AUTHENTICATION on create_checkout - anyone can create checkouts for any user_id,Pending,2025-11-09,Open,P1,2,Add user authentication to verify user_id matches authenticated user
19,CRITICAL,Security,MULTIPLE_SERVICES,12 services,CORS allow_origins=['*'] on 12 services - CSRF vulnerability across entire system (language_system story_teller world_state settings router npc_behavior feedback capability-registry payment orchestration srl_rlvr_training quest_system state_manager),GPT-Codex-2,2025-11-09,Fixed,P0,2,FIXED: All 12 services now use ALLOWED_ORIGINS env var with localhost default
20,CRITICAL,Security,services/state_manager/connection_pool.py,79,ANOTHER HARDCODED PASSWORD 'Inn0vat1on!' - third instance of same password in codebase!,GPT-Codex-2,2025-11-09,Fixed,P0,0.5,FIXED: Removed hardcoded fallback. Now requires DB_PASSWORD or PGPASSWORD env var with validation error.
11,CRITICAL,Security,services/ai_integration/server.py,71,CORS allow_origins=['*'] - allows ANY domain to access API (CSRF attacks possible),GPT-Codex-2,2025-11-09,Fixed,P0,0.5,FIXED: Restricted to ALLOWED_ORIGINS env var with localhost defaults
12,HIGH,Security,services/world_state/api_routes.py,ALL,No authentication/authorization on ANY endpoints - anyone can modify world state,Pending,2025-11-09,Open,P1,4,Must implement auth middleware before production
13,MEDIUM,Security,services/world_state/api_routes.py,ALL,No rate limiting - vulnerable to DoS attacks,Pending,2025-11-09,Open,P2,2,Add rate limiting middleware
21,CRITICAL,Security,services/settings/api_routes.py,333-350,NO AUTHENTICATION on set_player_tier - anyone can upgrade any player to any tier (REVENUE THEFT!),Claude-Sonnet-4.5,2025-11-10,Fixed,P0,2,"FIXED: Added verify_admin_access() with SETTINGS_ADMIN_KEYS. All tier changes require admin API key. Revenue protection implemented."
22,CRITICAL,Security,services/settings/api_routes.py,115-133,NO AUTHENTICATION on set_config - anyone can modify ANY system configuration (SYSTEM TAKEOVER!),Claude-Sonnet-4.5,2025-11-10,Fixed,P0,2,"FIXED: Added verify_admin_access() dependency. Config changes require admin API key. System takeover prevented."
23,CRITICAL,Security,services/settings/api_routes.py,275-303,NO AUTHENTICATION on update_feature_flag - anyone can enable/disable any feature,Claude-Sonnet-4.5,2025-11-10,Fixed,P0,1,"FIXED: Added verify_admin_access() dependency. Feature flag updates require admin API key."
24,CRITICAL,Security,services/model_management/api_routes.py,43-64,NO AUTHENTICATION on register_model - anyone can register models + model_path parameter = path traversal risk,Claude-Sonnet-4.5,2025-11-10,Fixed,P0,3,"FIXED: Added verify_model_admin() with MODEL_ADMIN_KEYS + path validation. Model registration requires admin API key. Path traversal prevented."
25,CRITICAL,Security,services/model_management/api_routes.py,118-137,NO AUTHENTICATION on switch_paid_model - anyone can switch to expensive paid models (cost attack),Claude-Sonnet-4.5,2025-11-10,Fixed,P0,2,"FIXED: Added verify_model_admin() dependency. Model switching requires admin API key. Cost attack prevented."
26,HIGH,Security,services/ai_integration/api_routes.py,71-136,NO AUTHENTICATION on generate endpoint - anyone can make expensive AI generation requests (DOS + cost),Claude-Sonnet-4.5,2025-11-10,Open,P1,2,"POST /ai/generate with no auth + player_id from request (not validated). Can DOS with expensive generations or generate on behalf of others."
27,HIGH,Security,services/ai_integration/api_routes.py,192-205,NO AUTHENTICATION on reset_circuit_breaker - anyone can reset circuit breakers to force failed service retries,Claude-Sonnet-4.5,2025-11-10,Open,P1,1,POST /ai/services/reset-circuit-breaker with no auth. Can force system to retry failed expensive operations.
28,HIGH,Security,services/ai_integration/api_routes.py,208-218,NO AUTHENTICATION on clear_cache - anyone can clear response cache (performance attack),Claude-Sonnet-4.5,2025-11-10,Open,P1,1,POST /ai/cache/clear with no auth. Can clear all caches to degrade performance.
29,HIGH,Security,services/npc_behavior/api_routes.py,63-89,NO AUTHENTICATION on NPC update endpoints - anyone can control ANY NPC behavior,Claude-Sonnet-4.5,2025-11-10,Open,P1,2,"POST /npc/{npc_id}/update and /npc/batch-update with no auth. Can manipulate NPC behavior, griefing attack."
30,MEDIUM,Code Quality,services/npc_behavior/api_routes.py,31-47,Global singletons with no thread safety - race conditions on initialization,Claude-Sonnet-4.5,2025-11-10,Open,P2,1,_llm_client and _behavior_engine globals with no locks. Race condition if multiple requests hit before init.
31,CRITICAL,Security,services/quest_system/api_routes.py,288-323,NO AUTHENTICATION on complete_quest_rewards - anyone can distribute rewards to themselves (ECONOMY EXPLOIT!),Claude-Sonnet-4.5,2025-11-10,Fixed,P0,3,"FIXED: Added verify_quest_admin() with QUEST_ADMIN_KEYS. Reward distribution requires admin API key. Economy exploit prevented."
32,HIGH,Security,services/quest_system/api_routes.py,69-90,NO AUTHENTICATION on generate_quest - anyone can generate expensive AI quests for any player,Claude-Sonnet-4.5,2025-11-10,Open,P1,2,"POST /quests/generate with no auth + player_id from request. Can DOS with expensive AI generation or create quests for others."
33,HIGH,Security,services/quest_system/api_routes.py,93-108,NO AUTHENTICATION on create_quest - anyone can create quests in database,Claude-Sonnet-4.5,2025-11-10,Open,P1,1,POST /quests/create with no auth. Can spam database with fake quests.
34,HIGH,Security,services/story_teller/api_routes.py,71-97,NO AUTHENTICATION on create_story_node - anyone can create story nodes for ANY player,Claude-Sonnet-4.5,2025-11-10,Open,P1,2,"POST /story/nodes with player_id from request (not validated). Can pollute player stories, griefing."
35,HIGH,Security,services/story_teller/api_routes.py,215-239,NO AUTHENTICATION on generate_narrative - anyone can make expensive AI narrative generation requests,Claude-Sonnet-4.5,2025-11-10,Open,P1,2,"POST /story/generate with no auth + player_id from request. Can DOS with expensive AI generations."
36,HIGH,Security,services/event_bus/api_routes.py,43-76,NO AUTHENTICATION on publish_event - anyone can publish fake events to event bus,Claude-Sonnet-4.5,2025-11-10,Open,P1,2,"POST /events/publish with no auth. Can spam fake events, trigger unintended system behavior, DOS."
37,HIGH,Security,services/router/api_routes.py,37-83,NO AUTHENTICATION on route endpoint - anyone can manipulate request routing,Claude-Sonnet-4.5,2025-11-10,Open,P1,1,"POST /v1/route with no auth. Can manipulate routing decisions, DOS by routing everything to expensive tiers."
38,MEDIUM,Code Quality,services/event_bus/api_routes.py,17-26,Global singleton with no thread safety - race condition on event bus initialization,Claude-Sonnet-4.5,2025-11-10,Open,P2,1,_event_bus_instance global with no lock. Race condition if multiple requests hit before init.
39,CRITICAL,Security,services/state_manager/api_routes.py,36-160,NO AUTHENTICATION on game state CRUD - anyone can create/read/modify/delete game states for ANY player (CHEATING!),Claude-Sonnet-4.5,2025-11-10,Fixed,P0,4,"FIXED: Added verify_state_admin() with STATE_ADMIN_KEYS. All state CRUD operations require admin API key. Cheating and data corruption prevented."
40,HIGH,Security,services/orchestration/api_routes.py,15-33,NO AUTHENTICATION on content generation - anyone can make expensive AI orchestration requests,Claude-Sonnet-4.5,2025-11-10,Open,P1,2,"POST /api/v1/generate and /coordinate-battle with no auth + user_id optional from request. Expensive AI operations."
41,CRITICAL,Security,services/ai_integration/lora_routes.py,50-68,CONFIRMED PATH TRAVERSAL: register_adapter accepts path parameter with no validation (ISSUE #15 CONFIRMED),GPT-Codex-2,2025-11-10,Fixed,P0,2,"FIXED: Added path validation (validate_adapter_path), API key authentication (verify_api_key), path length limits. Peer-reviewed by GPT-Codex-2."

